email;stratum;score;company
helga.tillman@gmail.com;NE;376;Nikolaus, Dach and Waelchi
mclaughlin.verla@bailey.com;SW;850;Botsford, Doyle and Carter
leonora.cormier@gmail.com;NW;10;Wiza Group
steuber.cooper@zboncak.biz;C;537;Miller Ltd
palma.klocko@jacobi.com;NW;112;Willms-Cronin
christina03@hermiston.biz;C;452;Kling Inc
marks.precious@gmail.com;NE;231;VonRueden-Boyle
uriah16@cummings.com;C;577;Reichel-Moen
summer.gerhold@lubowitz.com;C;407;Jaskolski Inc
xtorphy@dickens.net;C;544;Wolf-Johnston
zelma46@rohan.com;SE;641;Emmerich, Wilkinson and Ebert
anya21@kling.com;C;520;Feest, Connelly and Harvey
erika78@yahoo.com;NE;353;Breitenberg-Miller
letha59@osinski.com;SW;967;Wisozk-Goodwin
laurence56@balistreri.com;NW;25;McDermott-Turcotte
parisian.evangeline@gibson.com;NE;206;Tillman-Gerhold
albina79@yahoo.com;SW;822;Trantow PLC
payton.legros@hotmail.com;C;549;Sipes, Barrows and Brekke
destin.brekke@hotmail.com;NE;260;Welch-Beier
ben16@reilly.biz;NW;177;Corwin, Collins and Towne
donnell92@gmail.com;C;559;Haag Inc
audreanne82@schroeder.com;SE;722;Ortiz-Padberg
talia.greenholt@hotmail.com;NE;325;Aufderhar, Nienow and Simonis
muriel.fadel@zieme.com;SW;939;Kerluke Ltd
joel29@yahoo.com;SW;946;Frami Group
beer.trey@swaniawski.biz;NW;20;Breitenberg Ltd
jaylen07@hotmail.com;NE;334;Koepp, Stamm and Larkin
lfritsch@grimes.net;C;578;Tillman-Koepp
alexzander89@hotmail.com;NE;312;Raynor, Nicolas and Ruecker
lera21@rath.com;NE;213;Haley Inc
bauch.ashly@gmail.com;C;508;Kunde-Veum
csporer@yahoo.com;SW;968;Zulauf-Friesen
donny35@gmail.com;SE;711;Berge-Bartoletti
alana21@kassulke.net;NE;389;Rohan LLC
collins.darren@hotmail.com;NE;313;Mitchell-Bradtke
kmorissette@gmail.com;C;432;Wiegand-Hegmann
fvonrueden@yahoo.com;NW;130;Cronin, Hane and Kunde
jcummerata@yahoo.com;C;567;King, Murray and Erdman
okeefe.omer@ebert.org;SW;878;Smith PLC
dubuque.jefferey@hotmail.com;SE;653;Schimmel-Murazik
spinka.elton@yahoo.com;NE;265;Casper, Kreiger and D'Amore
rmurray@wyman.biz;NW;193;Spinka-Russel
vdach@gmail.com;C;523;Breitenberg-Smitham
franecki.avis@yahoo.com;C;435;O'Connell-Larkin
bernie90@hettinger.org;SE;697;Ritchie, Ankunding and Waelchi
tschulist@considine.com;SW;803;McClure LLC
hwest@leuschke.biz;C;441;Wunsch LLC
monte.williamson@jacobs.com;C;488;Hagenes, Treutel and Hoppe
darrick.hoppe@hotmail.com;NW;93;Denesik-Schinner
douglas.lauren@kilback.com;NE;370;Kohler Ltd
econnelly@hotmail.com;SW;975;Collins-Lockman
jevon.pagac@gmail.com;SE;666;Hills-Smith
yasmine02@corwin.com;C;440;Jaskolski, Grant and Fay
sean.huel@gmail.com;C;413;Grady Ltd
davonte02@windler.net;SW;918;Will Inc
gloria.abbott@gmail.com;C;505;Altenwerth Inc
alejandra24@cole.com;C;593;Fay-Parisian
rosina.doyle@vandervort.biz;C;502;Hill-Hermann
evelyn70@yahoo.com;NE;394;Harvey-Koss
wpollich@hotmail.com;SW;812;Hilpert-Parisian
kcarter@hotmail.com;NW;148;Purdy, Flatley and Davis
frami.burdette@gmail.com;NW;97;Metz-O'Kon
heather.nikolaus@gmail.com;NW;198;Shields-Gottlieb
eschaden@yahoo.com;SE;678;Kub and Sons
heidenreich.kaci@yahoo.com;SW;838;Douglas, Kling and Satterfield
daniel.marshall@schaefer.com;C;452;Connelly-Roberts
letha.conn@yahoo.com;NE;339;Breitenberg-Tillman
tito.torphy@koss.com;C;582;Mueller, Cronin and Jacobs
dovie.schmitt@yahoo.com;SE;767;Jakubowski, Cormier and Breitenberg
yparker@hotmail.com;C;403;Towne-Altenwerth
fdickens@yahoo.com;SE;702;Jacobson, Beer and Simonis
effie.friesen@gmail.com;C;489;Torphy PLC
estrella96@cummerata.info;SW;850;Bosco Group
makenzie50@gmail.com;NW;79;Schiller, Runolfsson and Rice
kuvalis.albert@shields.org;NE;311;Bosco, Johns and McGlynn
kenya27@reinger.biz;SW;883;Klein-Kassulke
keira.kutch@torphy.com;SE;677;Fritsch, Quigley and Effertz
sdavis@hotmail.com;NW;40;Boyle Ltd
bins.reina@yahoo.com;C;546;Spinka PLC
brandt85@yahoo.com;NW;33;Homenick, Renner and Kiehn
anais33@ritchie.info;SW;874;Littel, Boyle and Armstrong
alexzander.ledner@hotmail.com;NW;55;Harris PLC
vena86@hotmail.com;C;584;Streich, Bednar and Hamill
